Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Gear vr fkn sucks Wait for quest	Ugz75zXE7g2wKv54H0F4AaABAg	2018-11-13T17:43:11.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
It really should come with dual controller support	UgxWwigI-TAZKRfHygt4AaABAg	2018-11-13T09:57:45.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
I have something like this from Samsung but IT DONT GOT NO CONTRLLER	UgzD-SmuPyI_vNgpEzd4AaABAg	2018-11-12T04:58:29.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Can you use it with your own glasses I cant see shit without mine And is it heavy on the nose	UgzF29F4u0fb7hzSSzl4AaABAg	2018-11-11T19:49:01.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
I saw you wear glasses Does it fit on the glasses	UgxVo6TXXNW3UJLwjwF4AaABAg	2018-11-11T10:35:44.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
My gear vr kept lagging	UgwR31LFBBaGIIEQstJ4AaABAg	2018-11-10T04:23:56.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
it s not capable for Samsung Galaxy j	UgzS4JG1XvFSQuGVs2p4AaABAg	2018-11-08T23:16:39.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Isn t it compatible with the S	UgzRWCFyNHR34PXLIqB4AaABAg	2018-11-06T06:41:04.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
i have a oculus only it has controlers and the head set has ear phones i have a oculus rift P	UgwU285dIyvuh6FCbX14AaABAg	2018-11-06T06:05:55.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
I wonder if we can do VR on the Galaxy Note	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8l6JVKZPAeL	2018-09-12T19:21:23.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Is galaxy s edge one of the phones that can be used	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8kcSYNCghvm	2018-08-31T19:43:59.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Does it have split screen	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8k8OIKqfeAD	2018-08-19T18:10:23.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
