Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Live it up there never be a other one like him or team that well is about dried up	UgxdQauAMbDKy699ubJ4AaABAg	2018-11-11T03:10:54.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
GOAT	Ugx1PX_NL8qwGsqOqj94AaABAg	2018-11-11T02:22:04.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Matt Ryan is one classy individual	Ugx9XoqOjflpPfWRhRN4AaABAg	2018-11-10T20:14:59.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
I watch this in the middle of a semester when my grades are slipping and I m preparing a comeback	UgzzG3MkxGce9CWzg0h4AaABAg	2018-11-07T13:22:25.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Wonder where my favorite team ever puts their trophies at	Ugw9JnmP6HJMf_xurK94AaABAg	2018-11-07T04:30:18.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Song at	Ugyk_H0jNfREalappP94AaABAg	2018-11-06T16:37:51.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Jules block at the last regular time TD was HUGE	Ugz-8D7wZeaaQtHlJIt4AaABAg	2018-11-06T15:20:17.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Names of the tracks beginning at and	UgxKlBksETiX9uXeRVV4AaABAg	2018-11-02T18:37:13.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
you can actually see the moment Brady knows the game is his	UgzEz0L0ee1n6w7fMSZ4AaABAg	2018-11-02T07:29:29.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Edelman It s not over Get off the field Belichick They reviewed it Edelman YEAHHHHH	UgzzC57f1JtQethtuHx4AaABAg	2018-10-31T03:50:08.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
For your mom bro for your mom	UgyEQPE67zgUj5TYtTN4AaABAg	2018-10-30T03:40:08.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
